index	prediction
0	1
1	0
2	1
3	1
4	1
5	1
6	1
7	1
8	0
9	1
10	0
11	1
12	0
13	1
14	0
15	0
16	1
17	0
18	0
19	0
20	1
21	0
22	0
23	1
24	1
25	1
26	0
27	1
28	1
29	1
30	0
31	0
32	0
33	0
34	0
35	1
36	0
37	0
38	0
39	0
40	1
41	0
42	1
43	1
44	0
45	1
46	0
47	1
48	1
49	0
50	1
51	0
52	0
53	1
54	0
55	1
56	0
57	0
58	0
59	1
60	0
61	1
62	0
63	1
64	0
65	1
66	0
67	0
68	0
69	0
70	1
71	1
72	1
73	1
74	0
75	1
76	0
77	1
78	0
79	1
80	0
81	0
82	1
83	0
84	0
85	1
86	1
87	1
88	0
89	0
90	0
91	1
92	1
93	0
94	1
95	1
96	1
97	0
98	1
99	1
100	1
101	1
102	1
103	1
104	0
105	1
106	1
107	1
108	0
109	1
110	1
111	1
112	1
113	0
114	0
115	0
116	0
117	1
118	0
119	1
120	1
121	0
122	0
123	0
124	1
125	0
126	0
127	1
128	0
129	0
130	1
131	1
132	1
133	0
134	0
135	1
136	0
137	1
138	0
139	0
140	0
141	1
142	1
143	1
144	1
145	0
146	1
147	1
148	0
149	1
150	1
151	1
152	0
153	0
154	0
155	1
156	1
157	1
158	0
159	0
160	0
161	0
162	0
163	0
164	1
165	0
166	1
167	1
168	0
169	0
170	0
171	1
172	0
173	1
174	1
175	1
176	1
177	0
178	1
179	0
180	1
181	1
182	1
183	1
184	0
185	1
186	0
187	1
188	0
189	0
190	0
191	1
192	0
193	0
194	1
195	0
196	1
197	0
198	1
199	0
200	1
201	0
202	0
203	0
204	0
205	1
206	1
207	1
208	1
209	0
210	1
211	0
212	0
213	0
214	0
215	1
216	1
217	1
218	0
219	1
220	1
221	0
222	0
223	1
224	0
225	0
226	0
227	0
228	1
229	1
230	0
231	0
232	0
233	1
234	0
235	1
236	0
237	1
238	1
239	1
240	1
241	0
242	1
243	0
244	0
245	1
246	1
247	0
248	0
249	1
250	0
251	0
252	0
253	1
254	0
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	0
263	1
264	0
265	0
266	1
267	1
268	1
269	0
270	0
271	0
272	1
273	1
274	0
275	0
276	0
277	1
278	1
279	0
280	0
281	0
282	0
283	1
284	1
285	1
286	0
287	0
288	0
289	0
290	0
291	0
292	1
293	1
294	0
295	0
296	1
297	0
298	0
299	0
300	0
301	1
302	0
303	0
304	0
305	1
306	1
307	1
308	1
309	0
310	0
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	0
323	0
324	1
325	0
326	1
327	0
328	0
329	1
330	1
331	0
332	1
333	1
334	0
335	0
336	0
337	0
338	1
339	1
340	0
341	0
342	0
343	0
344	0
345	1
346	0
347	0
348	0
349	0
350	0
351	1
352	0
353	0
354	1
355	0
356	1
357	0
358	0
359	1
360	0
361	1
362	0
363	1
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	0
373	0
374	1
375	0
376	0
377	1
378	0
379	0
380	1
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	1
390	0
391	1
392	0
393	0
394	0
395	1
396	0
397	0
398	1
399	0
400	1
401	0
402	0
403	0
404	0
405	1
406	0
407	1
408	0
409	1
410	0
411	0
412	0
413	0
414	1
415	0
416	1
417	0
418	0
419	0
420	0
421	0
422	0
423	1
424	1
425	0
426	0
427	0
428	0
429	0
430	0
431	1
432	0
433	1
434	0
435	1
436	1
437	0
438	1
439	0
440	0
441	1
442	1
443	0
444	1
445	0
446	0
447	1
448	0
449	1
450	1
451	0
452	0
453	1
454	0
455	1
456	1
457	0
458	1
459	0
460	1
461	1
462	1
463	0
464	1
465	0
466	0
467	0
468	0
469	1
470	0
471	1
472	0
473	0
474	0
475	0
476	1
477	1
478	0
479	0
480	1
481	0
482	0
483	1
484	0
485	0
486	0
487	0
488	0
489	0
490	1
491	1
492	0
493	1
494	1
495	0
496	0
497	0
498	0
499	1
500	0
501	1
502	0
503	1
504	0
505	0
506	0
507	1
508	0
509	1
510	1
511	1
512	1
513	0
514	1
515	1
516	0
517	1
518	0
519	1
520	0
521	0
522	1
523	1
524	1
525	1
526	0
527	1
528	0
529	1
530	0
531	0
532	0
533	1
534	0
535	1
536	0
537	1
538	0
539	1
540	1
541	0
542	0
543	1
544	1
545	0
546	0
547	0
548	0
549	1
550	1
551	1
552	0
553	0
554	0
555	0
556	1
557	1
558	0
559	0
560	0
561	1
562	0
563	0
564	0
565	0
566	0
567	1
568	0
569	0
570	0
571	0
572	1
573	1
574	1
575	1
576	1
577	0
578	0
579	0
580	0
581	1
582	0
583	1
584	0
585	1
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	1
594	0
595	1
596	1
597	1
598	0
599	1
600	0
601	0
602	0
603	1
604	1
605	0
606	1
607	0
608	0
609	1
610	1
611	1
612	1
613	0
614	1
615	0
616	1
617	0
618	1
619	1
620	1
621	1
622	0
623	0
624	1
625	0
626	0
627	0
628	0
629	1
630	0
631	0
632	0
633	0
634	0
635	0
636	1
637	0
638	1
639	0
640	1
641	1
642	1
643	0
644	0
645	1
646	0
647	0
648	1
649	0
650	1
651	0
652	1
653	0
654	0
655	1
656	1
657	0
658	1
659	1
660	0
661	0
662	0
663	1
664	1
665	1
666	1
667	0
668	0
669	0
670	1
671	1
672	0
673	1
674	0
675	1
676	0
677	1
678	1
679	0
680	0
681	0
682	1
683	1
684	0
685	0
686	0
687	1
688	1
689	0
690	1
691	1
692	0
693	0
694	1
695	1
696	1
697	1
698	1
699	1
700	0
701	1
702	1
703	0
704	1
705	1
706	0
707	0
708	0
709	1
710	0
711	1
712	1
713	1
714	0
715	0
716	0
717	1
718	1
719	1
720	0
721	0
722	0
723	0
724	0
725	1
726	0
727	1
728	1
729	0
730	1
731	0
732	1
733	0
734	1
735	0
736	0
737	0
738	1
739	0
740	1
741	0
742	0
743	0
744	1
745	0
746	1
747	0
748	1
749	0
750	0
751	1
752	1
753	0
754	1
755	0
756	1
757	1
758	0
759	1
760	1
761	0
762	1
763	0
764	1
765	1
766	0
767	1
768	0
769	0
770	0
771	1
772	1
773	0
774	1
775	0
776	0
777	0
778	1
779	1
780	1
781	1
782	1
783	1
784	1
785	1
786	0
787	1
788	0
789	1
790	0
791	0
792	1
793	0
794	0
795	0
796	0
797	0
798	1
799	1
800	0
801	1
802	0
803	1
804	0
805	1
806	0
807	0
808	0
809	0
810	1
811	0
812	1
813	1
814	1
815	1
816	1
817	0
818	0
819	0
820	1
821	0
822	0
823	0
824	1
825	0
826	0
827	1
828	1
829	0
830	1
831	0
832	0
833	1
834	1
835	0
836	0
837	0
838	0
839	0
840	0
841	0
842	1
843	1
844	0
845	0
846	0
847	0
848	1
849	1
850	1
851	0
852	0
853	1
854	0
855	1
856	1
857	1
858	0
859	0
860	1
861	1
862	1
863	0
864	1
865	0
866	0
867	1
868	1
869	1
870	0
871	0
872	0
873	0
874	1
875	1
876	1
877	1
878	0
879	0
880	1
881	0
882	0
883	1
884	1
885	0
886	1
887	1
888	0
889	0
890	0
891	1
892	0
893	0
894	0
895	1
896	0
897	1
898	0
899	1
900	0
901	0
902	0
903	0
904	1
905	1
906	0
907	0
908	1
909	0
910	1
911	0
912	0
913	1
914	1
915	0
916	1
917	0
918	0
919	0
920	1
921	1
922	1
923	0
924	1
925	0
926	0
927	1
928	1
929	1
930	1
931	1
932	0
933	0
934	1
935	1
936	1
937	1
938	1
939	0
940	0
941	0
942	1
943	1
944	1
945	0
946	0
947	0
948	1
949	0
950	1
951	0
952	1
953	1
954	1
955	0
956	1
957	1
958	0
959	0
960	0
961	0
962	1
963	1
964	0
965	0
966	1
967	1
968	1
969	0
970	1
971	0
972	1
973	1
974	0
975	1
976	1
977	1
978	0
979	1
980	0
981	0
982	1
983	0
984	0
985	0
986	0
987	1
988	1
989	0
990	1
991	0
992	0
993	0
994	0
995	0
996	0
997	0
998	1
999	0
1000	1
1001	0
1002	0
1003	1
1004	0
1005	1
1006	1
1007	0
1008	0
1009	1
1010	0
1011	0
1012	0
1013	1
1014	1
1015	0
1016	0
1017	0
1018	0
1019	0
1020	0
1021	0
1022	0
1023	0
1024	0
1025	1
1026	1
1027	0
1028	0
1029	0
1030	1
1031	1
1032	0
1033	1
1034	0
1035	0
1036	0
1037	1
1038	1
1039	1
1040	1
1041	0
1042	1
1043	0
1044	0
1045	0
1046	0
1047	1
1048	1
1049	0
1050	1
1051	1
1052	1
1053	0
1054	0
1055	0
1056	0
1057	0
1058	1
1059	1
1060	0
1061	1
1062	0
1063	1
1064	1
1065	0
1066	1
1067	1
1068	1
1069	1
1070	1
1071	1
1072	0
1073	1
1074	1
1075	0
1076	1
1077	1
1078	0
1079	1
1080	0
1081	1
1082	0
1083	1
1084	1
1085	1
1086	1
1087	0
1088	1
1089	1
1090	0
1091	1
1092	0
1093	0
1094	1
1095	0
1096	0
1097	1
1098	0
1099	0
1100	0
1101	0
1102	1
1103	1
1104	1
1105	1
1106	0
1107	0
1108	0
1109	1
1110	0
1111	0
1112	0
1113	1
1114	1
1115	0
1116	0
1117	1
1118	1
1119	1
1120	0
1121	0
1122	0
1123	0
1124	0
1125	1
1126	0
1127	0
1128	1
1129	0
1130	1
1131	0
1132	1
1133	0
1134	0
1135	1
1136	0
1137	1
1138	0
1139	0
1140	0
1141	0
1142	0
1143	1
1144	1
1145	0
1146	1
1147	1
1148	0
1149	0
1150	0
1151	1
1152	0
1153	0
1154	0
1155	0
1156	1
1157	0
1158	0
1159	0
1160	0
1161	1
1162	1
1163	0
1164	1
1165	0
1166	1
1167	0
1168	1
1169	1
1170	1
1171	0
1172	0
1173	0
1174	0
1175	1
1176	0
1177	1
1178	1
1179	0
1180	1
1181	0
1182	0
1183	0
1184	0
1185	0
1186	1
1187	1
1188	1
1189	0
1190	1
1191	0
1192	1
1193	0
1194	1
1195	0
1196	1
1197	0
1198	1
1199	1
1200	1
1201	1
1202	1
1203	0
1204	1
1205	1
1206	1
1207	0
1208	1
1209	0
1210	1
1211	1
1212	1
1213	1
1214	0
1215	1
1216	1
1217	1
1218	1
1219	1
1220	1
1221	0
1222	0
1223	0
1224	0
1225	1
1226	0
1227	0
1228	1
1229	1
