index	prediction
0	0
1	1
2	0
3	1
4	1
5	1
6	0
7	0
8	0
9	1
10	0
11	1
12	1
13	0
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	0
22	0
23	0
24	0
25	1
26	0
27	0
28	1
29	0
30	1
31	0
32	0
33	0
34	0
35	1
36	1
37	0
38	0
39	1
40	1
41	0
42	0
43	1
44	0
45	1
46	1
47	0
48	0
49	0
50	0
51	1
52	0
53	0
54	0
55	1
56	0
57	1
58	0
59	1
60	0
61	1
62	1
63	1
64	0
65	0
66	0
67	0
68	1
69	0
70	0
71	0
72	1
73	1
74	1
75	1
76	0
77	0
78	1
79	0
80	0
81	1
82	1
83	0
84	1
85	1
86	1
87	1
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	1
96	0
97	1
98	0
99	0
