index	prediction
0	0
1	1
2	0
3	1
4	0
5	0
6	1
7	0
8	1
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	1
17	0
18	1
19	1
20	0
21	1
22	0
23	0
24	1
25	1
26	1
27	0
28	1
29	0
30	0
31	1
32	1
33	0
34	0
35	1
36	1
37	0
38	0
39	1
40	1
41	1
42	1
43	1
44	0
45	0
46	0
47	0
48	0
49	1
50	0
51	0
52	1
53	1
54	0
55	1
56	1
57	1
58	0
59	0
60	0
61	1
62	0
63	1
64	0
65	0
66	0
67	1
68	0
69	0
70	1
71	0
72	1
73	1
74	0
75	0
76	0
77	1
78	1
79	0
80	0
81	0
82	0
83	1
84	0
85	0
86	0
87	0
88	0
89	0
90	1
91	0
92	0
93	0
94	0
95	1
96	1
97	1
98	1
99	1
100	0
101	0
102	1
103	0
104	1
105	0
106	0
107	0
108	0
109	1
110	0
111	0
112	1
113	0
114	1
115	0
116	0
117	1
118	1
119	1
120	1
121	1
122	0
123	1
124	0
125	1
126	1
127	1
128	1
129	0
130	0
131	0
132	0
133	1
134	1
135	1
136	1
137	0
138	1
139	0
140	0
141	1
142	0
143	1
144	0
145	1
146	0
147	0
148	0
149	0
150	1
151	1
152	1
153	0
154	0
155	1
156	1
157	0
158	0
159	0
160	1
161	1
162	1
163	1
164	0
165	1
166	0
167	1
168	0
169	0
170	0
171	0
172	1
173	1
174	1
175	1
176	1
177	1
178	0
179	1
180	0
181	0
182	1
183	1
184	1
185	1
186	0
187	0
188	1
189	1
190	0
191	0
192	1
193	1
194	0
195	0
196	1
197	0
198	0
199	0
200	0
201	1
202	1
203	0
204	0
205	1
206	0
207	0
208	1
209	0
210	0
211	1
212	0
213	0
214	1
215	0
216	1
217	0
218	1
219	0
220	1
221	0
222	0
223	0
224	0
225	0
226	1
227	0
228	0
229	0
230	1
231	0
232	1
233	0
234	0
235	0
236	1
237	0
238	0
239	0
240	0
241	0
242	0
243	1
244	1
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	1
253	1
254	0
255	0
256	0
257	0
258	1
259	1
260	0
261	0
262	1
263	1
264	0
265	1
266	0
267	0
268	0
269	0
270	1
271	1
272	0
273	0
274	1
275	1
276	1
277	0
278	1
279	1
280	1
281	0
282	1
283	1
284	0
285	1
286	0
287	0
288	1
289	0
290	0
291	1
292	0
293	1
294	1
295	0
296	1
297	1
298	1
299	1
300	1
301	1
302	0
303	0
304	0
305	0
306	0
307	1
308	1
309	1
310	0
311	0
312	1
313	1
314	0
315	1
316	0
317	0
318	1
319	1
320	1
321	0
322	1
323	1
324	1
325	0
326	0
327	1
328	1
329	0
330	0
331	1
332	0
333	0
334	1
335	1
336	0
337	1
338	0
339	1
340	1
341	1
342	0
343	0
344	1
345	0
346	1
347	1
348	0
349	1
350	0
351	0
352	1
353	1
354	1
355	1
356	0
357	0
358	0
359	1
360	1
361	1
362	0
363	0
364	0
365	0
366	1
367	1
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	1
377	1
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	1
386	1
387	0
388	0
389	1
390	0
391	0
392	0
393	1
394	0
395	0
396	0
397	0
398	0
399	1
400	1
401	0
402	0
403	1
404	1
405	0
406	0
407	0
408	1
409	1
410	1
411	1
412	0
413	1
414	0
415	1
416	0
417	1
418	0
419	0
420	0
421	1
422	1
423	0
424	1
425	1
426	0
427	0
428	0
429	1
430	0
431	1
432	1
433	0
434	0
435	1
436	0
437	1
438	0
439	1
440	0
441	0
442	0
443	0
444	0
445	1
446	1
447	0
448	0
449	1
450	1
451	1
452	0
453	0
454	0
455	0
456	1
457	0
458	1
459	0
460	1
461	1
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	1
472	0
473	1
474	0
475	1
476	0
477	1
478	0
479	1
480	1
481	1
482	0
483	0
484	0
485	1
486	1
487	1
488	0
489	1
490	0
491	0
492	0
493	0
494	1
495	0
496	1
497	0
498	0
499	1
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	1
508	0
509	1
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	1
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	1
527	0
528	1
529	1
530	1
531	0
532	0
533	1
534	0
535	0
536	1
537	1
538	0
539	0
540	0
541	0
542	1
543	0
544	1
545	1
546	0
547	0
548	0
549	1
550	0
551	0
552	0
553	1
554	0
555	1
556	1
557	0
558	1
559	0
560	0
561	1
562	0
563	1
564	1
565	1
566	1
567	0
568	1
569	0
570	0
571	1
572	0
573	1
574	1
575	1
576	0
577	1
578	1
579	0
580	0
581	0
582	1
583	1
584	0
585	0
586	0
587	0
588	1
589	0
590	0
591	1
592	1
593	1
594	0
595	0
596	0
597	0
598	1
599	0
600	1
601	0
602	0
603	1
604	1
605	0
606	1
607	1
608	0
609	0
610	1
611	1
612	0
613	0
614	1
615	0
616	0
617	0
618	0
619	1
620	1
621	1
622	0
623	0
624	0
625	0
626	1
627	1
628	0
629	1
630	1
631	0
632	0
633	1
634	0
635	1
636	0
637	1
638	0
639	0
640	1
641	1
642	1
643	1
644	1
645	0
646	1
647	0
648	0
649	1
650	0
651	0
652	1
653	0
654	1
655	1
656	0
657	1
658	0
659	1
660	1
661	0
662	1
663	1
664	0
665	0
666	1
667	0
668	1
669	0
670	1
671	0
672	0
673	0
674	1
675	0
676	1
677	0
678	1
679	0
680	0
681	0
682	0
683	0
684	1
685	0
686	1
687	0
688	0
689	0
690	0
691	0
692	0
693	1
694	0
695	0
696	1
697	0
698	0
699	0
700	0
701	0
702	1
703	0
704	1
705	1
706	0
707	1
708	1
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	1
717	0
718	0
719	1
720	0
721	1
722	0
723	0
724	0
725	0
726	0
727	1
728	0
729	1
730	0
731	1
732	0
733	0
734	0
735	1
736	1
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	1
745	0
746	1
747	1
748	0
749	0
750	1
751	0
752	0
753	0
754	0
755	0
756	0
757	1
758	0
759	1
760	1
761	0
762	1
763	0
764	0
765	1
766	0
767	0
768	1
769	0
770	0
771	0
772	1
773	0
774	1
775	0
776	1
777	0
778	0
779	1
780	0
781	0
782	0
783	0
784	1
785	0
786	1
787	0
788	1
789	0
790	1
791	0
792	1
793	1
794	0
795	1
796	1
797	0
798	0
799	0
800	0
801	1
802	0
803	0
804	0
805	0
806	1
807	0
808	0
809	1
810	0
811	0
812	0
813	1
814	1
815	1
816	1
817	1
818	0
819	1
820	0
821	1
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	1
830	1
831	0
832	1
833	0
834	0
835	0
836	0
837	0
838	0
839	1
840	0
841	0
842	1
843	0
844	1
845	0
846	0
847	0
848	0
849	1
850	0
851	1
852	0
853	1
854	0
855	0
856	1
857	1
858	1
859	1
860	0
861	1
862	0
863	0
864	0
865	0
866	1
867	1
868	0
869	0
870	1
871	0
872	1
873	1
874	0
875	1
876	1
877	1
878	0
879	0
880	1
881	0
882	0
883	0
884	0
885	0
886	1
887	0
888	0
889	1
890	0
891	1
892	0
893	1
894	1
895	1
896	0
897	0
898	0
899	1
900	1
901	0
902	1
903	0
904	0
905	1
906	0
907	0
908	0
909	1
910	0
911	0
912	0
913	1
914	1
915	0
916	0
917	1
918	1
919	0
920	1
921	0
922	0
923	0
924	0
925	0
926	0
927	1
928	0
929	1
930	1
931	0
932	0
933	1
934	0
935	0
936	1
937	0
938	1
939	0
940	1
941	1
942	0
943	0
944	0
945	0
946	0
947	1
948	1
949	0
950	1
951	0
952	0
953	0
954	0
955	0
956	0
957	1
958	0
959	0
960	1
961	0
962	1
963	0
964	0
965	0
966	0
967	0
968	0
969	1
970	0
971	0
972	1
973	1
974	0
975	0
976	1
977	1
978	0
979	0
980	1
981	1
982	1
983	0
984	1
985	1
986	0
987	1
988	1
989	0
990	0
991	1
992	0
993	0
994	0
995	0
996	1
997	1
998	0
999	0
1000	1
1001	1
1002	0
1003	0
1004	0
1005	1
1006	1
1007	0
1008	0
1009	0
1010	0
1011	1
1012	0
1013	1
1014	0
1015	0
1016	0
1017	1
1018	0
1019	0
1020	0
1021	0
1022	0
1023	0
1024	0
1025	0
1026	0
1027	1
1028	1
1029	0
1030	0
1031	0
1032	1
1033	0
1034	0
1035	1
1036	1
1037	1
1038	1
1039	1
1040	0
1041	0
1042	1
1043	0
1044	1
1045	0
1046	1
1047	1
1048	0
1049	0
1050	0
1051	0
1052	0
1053	1
1054	0
1055	1
1056	0
1057	0
1058	0
1059	1
1060	1
