index	prediction
0	1
1	1
2	1
3	0
4	0
5	0
6	1
7	1
8	1
9	1
10	0
11	1
12	1
13	1
14	1
15	1
16	1
17	0
18	1
19	0
20	1
21	0
22	1
23	0
24	1
25	0
26	1
27	1
28	1
29	1
30	1
31	1
32	0
33	1
34	0
35	1
36	0
37	1
38	0
39	1
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	1
49	1
50	1
51	0
52	0
53	1
54	0
55	0
56	0
57	1
58	0
59	1
60	1
61	1
62	0
63	0
64	1
65	0
66	1
67	0
68	0
69	1
70	0
71	1
72	1
73	0
74	1
75	0
76	0
77	1
78	0
79	0
80	0
81	0
82	0
83	0
84	1
85	1
86	0
87	0
88	1
89	1
90	1
91	0
92	0
93	0
94	0
95	0
96	1
97	1
98	0
99	1
100	1
101	0
102	0
103	0
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	0
114	0
115	1
116	0
117	0
118	0
119	1
120	0
121	1
122	1
123	0
124	1
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	1
133	1
134	0
135	1
136	0
137	1
138	0
139	1
140	1
141	1
142	0
143	0
144	0
145	0
146	1
147	0
148	0
149	0
150	1
151	1
152	1
153	1
154	1
155	0
156	1
157	1
158	0
159	0
160	0
161	0
162	1
163	1
164	1
165	0
166	0
167	0
168	0
169	0
170	1
171	0
172	1
173	1
174	1
175	1
176	0
177	1
178	1
179	1
180	0
181	0
182	1
183	0
184	0
185	1
186	0
187	0
188	1
189	0
190	0
191	0
192	0
193	1
194	1
195	0
196	0
197	1
198	0
199	0
200	0
201	0
202	1
203	0
204	0
205	0
206	1
207	1
208	0
209	0
210	0
211	0
212	1
213	1
214	1
215	0
216	0
217	0
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	0
227	0
228	0
229	1
230	0
231	0
232	1
233	1
234	1
235	0
236	0
237	0
238	0
239	1
240	0
241	0
242	0
243	1
244	1
245	0
246	1
247	0
248	1
249	1
250	1
251	0
252	0
253	1
254	1
255	0
256	1
257	0
258	1
259	1
260	0
261	1
262	0
263	1
264	1
265	0
266	1
267	0
268	1
269	0
270	0
271	1
272	1
273	1
274	1
275	0
276	1
277	1
278	0
279	1
280	1
281	1
282	1
283	0
284	1
285	1
286	1
287	0
288	1
289	0
290	0
291	1
292	0
293	0
294	0
295	0
296	1
297	1
298	0
299	1
300	0
301	1
302	0
303	1
304	1
305	1
306	0
307	0
308	0
309	1
310	1
311	0
312	0
313	1
314	1
315	1
316	1
317	1
318	1
319	0
320	1
321	0
322	0
323	0
324	1
325	1
326	1
327	1
328	1
329	0
330	0
331	0
332	0
333	1
334	0
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	0
343	1
344	0
345	1
346	1
347	1
348	1
349	0
350	0
351	1
352	1
353	1
354	0
355	0
356	0
357	1
358	0
359	0
360	0
361	0
362	1
363	0
364	0
365	0
366	1
367	0
368	1
369	0
370	1
371	0
372	1
373	0
374	1
375	1
376	1
377	0
378	1
379	1
380	1
381	1
382	0
383	1
384	1
385	1
386	1
387	1
388	0
389	0
390	1
391	1
392	1
393	1
394	1
395	1
396	0
397	1
398	0
399	1
400	1
401	0
402	1
403	0
404	0
405	1
406	0
407	0
408	1
409	1
410	0
411	0
412	0
413	0
414	0
415	1
416	0
417	1
418	0
419	0
420	1
421	0
422	0
423	1
424	0
425	0
426	1
427	0
428	1
429	1
430	1
431	1
432	0
433	0
434	1
435	0
436	0
437	0
438	0
439	1
440	0
441	1
442	0
443	1
444	0
445	1
446	1
447	0
448	1
449	1
450	0
451	0
452	1
453	1
454	0
455	1
456	1
457	0
458	1
459	1
460	1
461	1
462	1
463	0
464	0
465	1
466	1
467	0
468	1
469	1
470	1
471	0
472	1
473	1
474	0
475	1
476	1
477	0
478	0
479	1
480	0
481	1
482	1
483	0
484	1
485	1
486	1
487	0
488	0
489	0
490	1
491	1
492	1
493	1
494	0
495	0
496	1
497	1
498	0
499	1
500	1
501	0
502	0
503	1
504	0
505	0
506	1
507	1
508	1
509	0
510	1
511	1
512	1
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	1
521	1
522	1
523	0
524	1
525	1
526	0
527	1
528	0
529	0
530	1
531	0
532	1
533	1
534	0
535	1
536	0
537	1
538	0
539	0
540	0
541	1
542	1
543	0
544	1
545	0
546	0
547	0
548	0
549	0
550	0
551	1
552	1
553	0
554	1
555	1
556	0
557	1
558	0
559	1
560	0
561	0
562	1
563	1
564	0
565	0
566	0
567	1
568	0
569	0
570	1
571	1
572	1
573	0
574	1
575	0
576	1
577	1
578	1
579	0
580	0
581	0
582	0
583	1
584	1
585	1
586	0
587	1
588	0
589	1
590	1
591	1
592	1
593	0
594	1
595	0
596	1
597	1
598	1
599	0
600	1
601	1
602	1
603	1
604	0
605	0
606	0
607	0
608	0
609	0
610	1
611	1
612	1
613	1
614	1
615	1
616	1
617	0
618	0
619	0
620	0
621	0
622	0
623	1
624	0
625	1
626	1
627	1
628	1
629	1
630	0
631	1
632	1
633	1
634	0
635	1
636	0
637	0
638	0
639	1
640	0
641	1
642	1
643	1
644	1
645	0
646	1
647	1
648	0
649	0
650	1
651	0
652	1
653	0
654	0
655	0
656	1
657	1
658	0
659	0
660	1
661	0
662	0
663	0
664	0
665	1
666	1
667	1
668	0
669	0
670	1
671	0
672	1
673	1
674	1
675	1
676	1
677	0
678	0
679	1
680	1
681	1
682	0
683	1
684	1
685	1
686	0
687	1
688	1
689	0
690	1
691	0
692	0
693	0
694	0
695	1
696	1
697	1
698	1
699	0
700	0
701	0
702	1
703	0
704	1
705	1
706	1
707	0
708	1
709	0
710	1
711	1
712	1
713	0
714	1
715	0
716	0
717	0
718	1
719	0
720	0
721	0
722	1
723	0
724	1
725	0
726	1
727	0
728	0
729	1
730	0
731	1
732	0
733	1
734	0
735	0
736	0
737	0
738	1
739	1
740	0
741	1
742	0
743	0
744	0
745	1
746	0
747	0
748	0
749	1
750	0
751	0
752	1
753	0
754	1
755	1
756	1
757	1
758	0
759	0
760	0
761	1
762	0
763	0
764	1
765	0
766	1
767	0
768	1
769	0
770	1
771	1
772	0
773	0
774	1
775	0
776	0
777	0
778	0
779	1
780	0
781	1
782	1
783	0
784	1
785	1
786	0
787	1
788	0
789	0
790	1
791	1
792	1
793	0
794	0
795	1
796	0
797	0
798	1
799	1
800	0
801	0
802	1
803	1
804	1
805	0
806	1
807	1
808	1
809	1
810	1
811	0
