index	prediction
0	0
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	0
10	1
11	1
12	0
13	0
14	1
15	0
16	0
17	0
18	1
19	0
20	1
21	0
22	1
23	0
24	0
25	0
26	0
27	1
28	1
29	1
30	0
31	0
32	1
33	0
34	0
35	1
36	0
37	0
38	1
39	0
40	1
41	0
42	1
43	1
44	1
45	0
46	0
47	1
48	1
49	1
50	0
51	0
52	1
53	0
54	0
55	0
56	1
57	0
58	0
59	1
60	1
61	0
62	0
63	1
64	1
65	0
66	1
67	0
68	0
69	0
70	0
71	1
72	0
73	1
74	0
75	1
76	0
77	0
78	1
79	1
80	0
81	1
82	0
83	0
84	1
85	0
86	1
87	1
88	1
89	1
90	1
91	0
92	0
93	0
94	0
95	1
96	0
97	1
98	1
99	0
100	0
101	1
102	1
103	1
104	1
105	0
106	1
107	1
108	1
109	0
110	0
111	1
112	1
113	0
114	0
115	1
116	0
117	1
118	1
119	1
120	0
121	1
122	0
123	1
124	1
125	0
126	0
127	0
128	1
129	1
130	0
131	1
132	0
133	0
134	1
135	0
136	1
137	0
138	1
139	1
140	0
141	0
142	1
143	1
144	1
145	1
146	1
147	0
148	0
149	1
150	0
151	1
152	1
153	1
154	1
155	1
156	0
157	1
158	1
159	1
160	0
161	0
162	1
163	1
164	1
165	0
166	1
167	1
168	0
169	1
170	1
171	1
172	1
173	0
174	1
175	1
176	0
177	0
178	0
179	1
180	0
181	0
182	0
183	0
184	1
185	1
186	0
187	1
188	0
189	0
190	0
191	0
192	0
193	1
194	0
195	0
196	1
197	0
198	1
199	1
200	0
201	1
202	0
203	1
204	0
205	0
206	0
207	0
208	1
209	1
210	1
211	1
212	0
213	0
214	0
215	0
216	0
217	1
218	1
219	0
220	1
221	1
222	1
223	0
224	0
225	1
226	0
227	1
228	0
229	0
230	0
231	0
232	0
233	1
234	0
235	0
236	1
237	0
238	0
239	0
240	0
241	0
242	0
243	1
244	1
245	1
246	0
247	1
248	1
249	0
250	0
251	0
252	1
253	1
254	0
255	0
256	0
257	1
258	0
259	0
260	1
261	0
262	0
263	1
264	1
265	0
266	1
267	0
268	0
269	1
270	0
271	1
272	0
273	0
274	1
275	0
276	0
277	0
278	1
279	0
280	1
281	0
282	0
283	0
284	0
285	1
286	1
287	0
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	0
296	1
297	0
298	1
299	1
300	0
301	0
302	1
303	1
304	1
305	0
306	0
307	1
308	0
309	1
310	0
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	0
323	1
324	0
325	1
326	1
327	0
328	1
329	1
330	1
331	0
332	0
333	0
334	1
335	1
336	1
337	0
338	1
339	0
340	1
341	0
342	0
343	0
344	1
345	1
346	1
347	1
348	0
349	0
350	0
351	1
352	0
353	1
354	1
355	0
356	1
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	1
365	1
366	0
367	0
368	1
369	0
370	1
371	0
372	0
373	0
374	0
375	1
376	0
377	1
378	0
379	0
380	0
381	1
382	0
383	1
384	0
385	1
386	0
387	0
388	1
389	1
390	1
391	1
392	1
393	0
394	0
395	0
396	1
397	1
398	0
399	0
400	1
401	1
402	0
403	1
404	1
405	0
406	0
407	1
408	1
409	0
410	0
411	0
412	1
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	1
422	1
423	1
424	1
425	1
426	0
427	0
428	1
429	0
430	0
431	0
432	1
433	0
434	1
435	0
436	0
437	0
438	1
439	0
440	0
441	1
442	0
443	1
444	0
445	0
446	0
447	0
448	1
449	1
450	1
451	1
452	0
453	1
454	0
455	1
456	0
457	1
458	1
459	1
460	0
461	0
462	1
463	0
464	0
465	1
466	1
467	1
468	1
469	1
470	0
471	0
472	0
473	1
474	0
475	1
476	0
477	0
478	1
479	0
480	1
481	0
482	1
483	0
484	0
485	0
486	0
487	0
488	0
489	1
490	1
491	0
492	0
493	0
494	0
495	1
496	0
497	1
498	0
499	0
500	0
501	0
502	1
503	0
504	1
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	1
513	1
514	0
515	1
516	1
517	1
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	1
527	1
528	1
529	0
530	1
531	0
532	0
533	1
534	0
535	0
536	0
537	1
538	0
539	0
540	1
541	0
542	0
543	0
544	1
545	0
546	0
547	0
548	0
549	1
550	0
551	1
552	1
553	0
554	0
555	1
556	1
557	1
558	1
559	0
560	1
561	1
562	0
563	1
564	0
565	1
566	1
567	0
568	1
569	0
570	0
571	0
572	0
573	1
574	0
575	1
576	1
577	1
578	1
579	0
580	1
581	0
582	0
583	0
584	1
585	0
586	0
587	1
588	0
589	0
590	1
591	0
592	0
593	1
594	0
595	1
596	1
597	1
598	0
599	1
600	0
601	1
602	0
603	0
604	0
605	1
606	0
607	1
608	0
609	1
610	0
611	0
612	0
613	0
614	1
615	1
616	1
617	1
618	0
619	1
620	1
621	1
622	1
623	1
624	1
625	1
626	1
627	0
628	1
629	0
630	1
631	1
632	1
633	0
634	1
635	0
636	0
637	0
638	1
639	0
640	0
641	1
642	0
643	0
644	1
645	0
646	0
647	0
648	0
649	0
650	1
651	0
652	1
653	0
654	0
655	1
656	0
657	1
658	0
659	1
660	1
661	0
662	0
663	0
664	1
665	0
666	0
667	1
668	0
669	1
670	1
671	1
672	1
673	1
674	1
675	1
676	1
677	1
678	0
679	0
680	0
681	1
682	1
683	1
684	1
685	1
686	0
687	1
688	1
689	1
690	0
691	1
692	1
693	1
694	1
695	1
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	1
704	1
705	0
706	0
707	1
708	1
709	1
710	0
711	0
712	0
713	0
714	0
715	1
716	0
717	1
718	1
719	1
720	1
721	1
722	1
723	1
724	1
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	1
736	0
737	0
738	1
739	1
740	0
741	1
742	0
743	0
744	0
745	1
746	0
747	0
748	1
749	1
750	1
751	0
752	0
753	1
754	0
755	0
756	1
757	1
758	1
759	1
760	0
761	1
762	1
763	0
764	0
765	1
766	1
767	0
768	1
769	1
770	1
771	0
772	0
773	1
774	0
775	0
776	0
777	0
778	1
779	1
780	0
781	1
782	0
783	1
784	1
785	1
786	1
787	0
788	0
789	1
790	0
791	0
792	0
793	1
794	1
795	1
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	1
805	0
806	0
807	1
808	0
809	1
810	1
811	0
812	0
813	1
814	1
815	1
816	0
817	0
818	1
819	1
820	0
821	0
822	0
823	0
824	1
825	1
826	0
827	0
828	1
829	0
830	0
831	0
832	0
833	0
834	1
835	0
836	1
837	1
838	1
839	1
840	0
841	1
842	0
843	0
844	1
845	0
846	1
847	0
848	0
849	0
850	1
851	0
852	0
853	0
854	0
855	1
856	1
857	0
858	1
859	0
860	0
861	1
862	1
863	1
864	1
865	1
866	0
867	1
868	0
869	0
870	0
871	1
872	0
873	1
874	0
875	1
876	1
877	1
878	1
879	0
880	0
881	1
882	0
883	0
884	1
885	1
886	0
887	1
888	0
889	0
890	0
891	0
892	0
893	0
894	1
895	1
896	1
897	0
898	0
899	0
900	1
901	1
902	1
903	0
904	1
905	0
906	1
907	0
908	0
909	1
910	0
911	0
912	0
913	1
914	1
915	1
916	0
917	0
918	0
919	1
920	0
921	1
922	0
923	1
924	0
925	1
926	0
927	0
928	0
929	1
930	1
931	1
932	0
933	1
934	0
935	0
936	1
937	1
938	0
939	1
940	1
941	1
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	0
950	0
951	1
952	0
953	0
954	0
955	1
956	1
957	0
958	1
959	1
960	0
961	1
962	0
963	0
964	1
965	1
966	0
967	0
968	0
969	1
970	1
971	0
972	1
973	1
974	1
975	0
976	0
977	1
978	0
979	0
980	0
981	0
982	0
983	1
984	1
985	1
986	0
987	0
988	0
989	0
990	1
991	1
992	1
993	1
994	0
995	0
996	0
997	1
998	1
999	0
1000	1
1001	0
1002	1
1003	0
1004	0
1005	0
1006	0
1007	0
1008	1
1009	1
1010	1
1011	1
1012	1
1013	1
1014	1
1015	0
1016	0
1017	0
1018	0
1019	0
1020	1
1021	0
1022	0
1023	0
1024	1
1025	1
1026	1
1027	0
1028	1
1029	1
1030	1
1031	0
1032	0
1033	1
1034	1
1035	1
1036	1
1037	1
1038	1
1039	0
1040	0
1041	0
1042	1
1043	0
1044	1
1045	0
1046	0
1047	0
1048	1
1049	0
1050	0
1051	0
1052	1
1053	0
1054	1
1055	1
1056	1
1057	0
1058	0
1059	0
1060	0
