index	prediction
0	0
1	0
2	1
3	0
4	1
5	0
6	1
7	0
8	1
9	1
10	0
11	1
12	0
13	0
14	0
15	1
16	1
17	1
18	0
19	0
20	0
21	1
22	0
23	1
24	0
25	1
26	1
27	0
28	0
29	1
30	1
31	1
32	1
33	0
34	1
35	1
36	1
37	1
38	0
39	0
40	1
41	1
42	1
43	1
44	1
45	0
46	1
47	1
48	1
49	0
50	1
51	1
52	1
53	0
54	1
55	1
56	0
57	1
58	0
59	1
60	0
61	1
62	0
63	0
64	1
65	0
66	1
67	0
68	0
69	1
70	1
71	1
72	0
73	1
74	1
75	1
76	0
77	0
78	1
79	1
80	1
81	1
82	1
83	1
84	0
85	1
86	0
87	1
88	1
89	1
90	1
91	0
92	0
93	0
94	1
95	1
96	0
97	1
98	1
99	0
100	0
101	0
102	1
103	0
104	0
105	1
106	1
107	0
108	1
109	1
110	0
111	0
112	1
113	0
114	1
115	1
116	0
117	1
118	0
119	1
120	0
121	1
122	1
123	0
124	1
125	1
126	0
127	0
128	0
129	1
130	1
131	1
132	1
133	1
134	1
135	0
136	1
137	0
138	0
139	0
140	0
141	0
142	0
143	1
144	1
145	1
146	1
147	0
148	1
149	0
150	1
151	0
152	0
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	0
161	0
162	0
163	1
164	0
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	0
175	1
176	0
177	1
178	0
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	0
191	1
192	0
193	1
194	1
195	0
196	0
197	1
198	1
199	1
200	1
201	0
202	1
203	1
204	1
205	1
206	1
207	0
208	0
209	1
210	1
211	1
212	1
213	0
214	1
215	0
216	1
217	1
218	1
219	1
220	0
221	1
222	1
223	0
224	0
225	0
226	1
227	0
228	1
229	1
230	0
231	1
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	1
241	1
242	0
243	1
244	1
245	0
246	1
247	1
248	0
249	1
250	0
251	1
252	1
253	1
254	1
255	1
256	1
257	0
258	1
259	0
260	0
261	0
262	1
263	1
264	1
265	1
266	1
267	1
268	0
269	1
270	0
271	1
272	0
273	1
274	0
275	0
276	1
277	1
278	1
279	0
280	1
281	1
282	1
283	0
284	0
285	1
286	1
287	0
288	0
289	0
290	1
291	1
292	0
293	1
294	1
295	1
296	1
297	0
298	1
299	0
300	0
301	1
302	0
303	0
304	1
305	0
306	1
307	1
308	0
309	1
310	0
311	0
312	0
313	1
314	0
315	0
316	1
317	0
318	1
319	0
320	1
321	1
322	0
323	0
324	0
325	1
326	1
327	0
328	0
329	0
330	1
331	1
332	0
333	1
334	0
335	0
336	1
337	0
338	0
339	0
340	0
341	1
342	1
343	1
344	0
345	1
346	1
347	0
348	1
349	1
350	0
351	1
352	1
353	1
354	1
355	1
356	1
357	0
358	1
359	0
360	1
361	0
362	1
363	0
364	1
365	0
366	1
367	1
368	1
369	0
370	1
371	1
372	1
373	1
374	0
375	1
376	1
377	1
378	0
379	0
380	0
381	0
382	0
383	1
384	0
385	0
386	1
387	1
388	1
389	1
390	1
391	1
392	1
393	1
394	1
395	1
396	1
397	1
398	1
399	1
400	1
401	1
402	1
403	1
404	1
405	1
406	1
407	1
408	0
409	0
410	0
411	0
412	1
413	0
414	0
415	1
416	0
417	1
418	1
419	0
420	1
421	0
422	0
423	1
424	1
425	0
426	1
427	1
428	1
429	1
430	0
431	1
432	1
433	0
434	0
435	1
436	1
437	1
438	1
439	0
440	1
441	1
442	1
443	0
444	1
445	0
446	0
447	1
448	0
449	0
450	1
451	0
452	1
453	0
454	0
455	0
456	1
457	1
458	1
459	1
460	1
461	1
462	0
463	0
464	0
465	1
466	1
467	0
468	0
469	0
470	0
471	0
472	1
473	1
474	1
475	0
476	0
477	1
478	0
479	0
480	0
481	1
482	1
483	1
484	0
485	1
486	1
487	1
488	1
489	1
490	0
491	0
492	1
493	1
494	1
495	1
496	1
497	1
498	1
499	0
500	1
501	1
502	1
503	0
504	0
505	1
506	0
507	1
508	1
509	1
510	1
511	1
512	1
513	1
514	0
515	1
516	0
517	1
518	0
519	0
520	0
521	0
522	0
523	1
524	1
525	0
526	0
527	1
528	0
529	1
530	1
531	1
