index	prediction
0	1
1	0
2	0
3	1
4	1
5	0
6	1
7	1
8	0
9	1
10	1
11	0
12	1
13	1
14	1
15	0
16	0
17	0
18	0
19	0
20	1
21	0
22	0
23	0
24	1
25	0
26	0
27	0
28	1
29	0
30	1
31	1
32	0
33	1
34	0
35	1
36	0
37	1
38	1
39	0
40	0
41	1
42	0
43	0
44	0
45	0
46	1
47	1
48	0
49	1
50	1
51	0
52	0
53	0
54	1
55	0
56	0
57	1
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	1
67	0
68	1
69	1
70	0
71	0
72	1
73	0
74	1
75	0
76	0
77	1
78	1
79	0
80	1
81	0
82	1
83	0
84	0
85	1
86	1
87	1
88	0
89	0
90	0
91	0
92	0
93	1
94	1
95	0
96	1
97	1
98	0
99	1
100	0
101	1
102	1
103	0
104	1
105	1
106	1
107	1
108	1
109	0
110	1
111	1
112	0
113	0
114	1
115	1
116	0
117	0
118	0
119	0
120	1
121	1
122	0
123	1
124	1
125	0
126	1
127	0
128	0
129	0
130	0
131	0
132	1
133	0
134	1
135	1
136	0
137	0
138	1
139	1
140	1
141	1
142	0
143	0
144	0
145	0
146	1
147	0
148	0
149	0
150	1
151	0
152	1
153	0
154	0
155	0
156	1
157	0
158	1
159	0
160	0
161	1
162	0
163	1
164	1
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	1
175	1
176	0
177	0
178	0
179	0
180	1
181	0
182	0
183	0
184	0
185	1
186	1
187	0
188	1
189	1
190	0
191	1
192	0
193	0
194	1
195	0
196	0
197	1
198	0
199	1
200	0
201	0
202	1
203	1
204	0
205	0
206	1
207	1
208	1
209	0
210	0
211	0
212	1
213	0
214	0
215	1
216	1
217	0
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	0
227	0
228	0
229	1
230	1
231	1
232	1
233	0
234	1
235	0
236	0
237	0
238	0
239	0
240	1
241	0
242	1
243	0
244	0
245	1
246	0
247	1
248	0
249	1
250	1
251	1
252	0
253	0
254	0
255	0
256	1
257	0
258	1
259	1
260	0
261	0
262	0
263	0
264	0
265	1
266	1
267	0
268	1
269	0
270	0
271	1
272	1
273	1
274	1
275	1
276	0
277	0
278	1
279	0
280	1
281	1
282	0
283	0
284	0
285	1
286	1
287	1
288	1
289	0
290	1
291	0
292	1
293	0
294	0
295	0
296	0
297	0
298	0
299	1
300	1
301	0
302	0
303	1
304	1
305	1
306	1
307	0
308	0
309	1
310	1
311	1
312	0
313	1
314	1
315	1
316	1
317	0
318	0
319	1
320	1
321	0
322	0
323	0
324	0
325	1
326	0
327	1
328	1
329	0
330	1
331	1
332	0
333	1
334	1
335	0
336	0
337	0
338	1
339	1
340	0
341	1
342	0
343	0
344	0
345	0
346	1
347	1
348	1
349	1
350	0
351	1
352	1
353	0
354	0
355	0
356	0
357	1
358	1
359	1
360	0
361	1
362	1
363	0
364	1
365	0
366	1
367	0
368	1
369	1
370	1
371	0
372	1
373	1
374	0
375	0
376	0
377	0
378	1
379	1
380	0
381	1
382	0
383	1
384	0
385	1
386	1
387	1
388	0
389	0
390	0
391	0
392	0
393	1
394	0
395	0
396	0
397	1
398	0
399	0
400	1
401	0
402	1
403	0
404	0
405	0
406	0
407	1
408	1
409	1
410	1
411	1
412	1
413	0
414	1
415	1
416	0
417	0
418	1
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	1
429	1
430	0
431	0
432	1
433	0
434	1
435	0
436	0
437	0
438	0
439	1
440	1
441	1
442	0
443	0
444	0
445	1
446	1
447	1
448	0
449	0
450	1
451	0
452	0
453	1
454	0
455	1
456	1
457	0
458	1
459	0
460	0
461	0
462	1
463	0
464	0
465	0
466	1
467	0
468	1
469	0
470	1
471	0
472	1
473	1
474	0
475	1
476	1
477	0
478	0
479	0
480	0
481	1
482	1
483	0
484	0
485	1
486	0
487	1
488	1
489	0
490	1
491	1
492	0
493	0
494	0
495	0
496	1
497	0
498	0
499	0
500	1
501	0
502	0
503	1
504	0
505	0
506	0
507	1
508	1
509	1
510	1
511	0
512	1
513	0
514	1
515	0
516	1
517	0
518	0
519	1
520	0
521	0
522	0
523	0
524	1
525	1
526	0
527	0
528	0
529	1
530	1
531	0
532	1
533	1
534	1
535	1
536	0
537	0
538	0
539	0
540	0
541	1
542	1
543	0
544	1
545	0
546	1
547	0
548	0
549	0
550	0
551	0
552	1
553	1
554	0
555	0
556	1
557	1
558	0
559	1
560	0
561	0
562	1
563	1
564	0
565	0
566	1
567	1
568	0
569	0
570	1
571	1
572	1
573	0
574	1
575	0
576	0
577	0
578	1
579	0
580	0
581	0
582	1
583	1
584	1
585	1
586	0
587	1
588	1
589	1
590	0
591	1
592	1
593	1
594	1
595	0
596	0
597	0
598	1
599	0
600	0
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	0
609	0
610	1
611	0
612	1
613	1
614	1
615	0
616	0
617	1
618	0
619	1
620	0
621	0
622	0
623	1
624	0
625	1
626	0
627	1
628	0
629	0
630	0
631	0
632	1
633	1
634	0
635	1
636	1
637	0
638	0
639	1
640	0
641	1
642	0
643	0
644	0
645	0
646	1
647	0
648	0
649	0
650	0
651	1
652	1
653	0
654	1
655	1
656	1
657	0
658	1
659	0
660	0
661	0
662	1
663	1
664	0
665	1
666	1
667	1
668	0
669	0
670	1
671	0
672	1
673	1
674	0
675	0
676	1
677	0
678	0
679	0
680	1
681	1
682	0
683	1
684	1
685	0
686	1
687	0
688	0
689	1
690	1
691	0
692	1
693	1
694	0
695	1
696	0
697	1
698	1
699	0
700	0
701	1
702	0
703	1
704	0
705	0
706	0
707	0
708	0
709	1
710	1
711	0
712	0
713	0
714	1
715	1
716	1
717	0
718	1
719	0
720	1
721	0
722	1
723	0
724	1
725	1
726	0
727	1
728	0
729	0
730	0
731	0
732	0
733	1
734	0
735	1
736	1
737	1
738	1
739	1
740	0
741	0
742	0
743	1
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	1
752	1
753	0
754	1
755	0
756	0
757	0
758	0
759	0
760	1
761	1
762	1
763	1
764	0
765	1
766	1
767	0
768	1
769	1
770	1
771	1
772	0
773	0
774	1
775	0
776	0
777	1
778	0
779	1
780	0
781	1
782	1
783	0
784	0
785	1
786	0
787	1
788	0
789	0
790	1
791	0
792	0
793	0
794	0
795	0
796	0
797	1
798	1
799	1
800	0
801	0
802	1
803	1
804	0
805	1
806	1
807	1
808	1
809	0
810	0
811	0
812	0
813	0
814	1
815	1
816	0
817	0
818	0
819	1
820	0
821	1
822	0
823	0
824	0
825	0
826	0
827	1
828	1
829	0
830	0
831	0
832	0
833	0
834	0
835	1
836	1
837	1
838	0
839	0
840	1
841	1
842	1
843	0
844	0
845	1
846	1
847	1
848	1
849	1
850	0
851	1
852	1
853	0
854	1
855	0
856	0
857	0
858	1
859	0
860	1
861	1
862	1
863	0
864	1
865	1
866	0
867	1
868	0
869	0
870	1
871	0
872	0
873	0
874	0
875	1
876	1
877	0
878	1
879	0
880	0
881	1
882	1
883	1
884	0
885	1
886	0
887	0
888	0
889	0
890	1
891	0
892	0
893	0
894	1
895	0
896	0
897	1
898	0
899	1
900	1
901	0
902	0
903	0
904	0
905	1
906	1
907	0
908	0
909	0
910	1
911	1
912	1
913	1
914	0
915	0
916	0
917	1
918	0
919	0
920	1
921	0
922	0
923	1
924	1
925	0
926	1
927	0
928	0
929	0
930	1
931	0
932	1
933	0
934	0
935	0
936	1
937	0
938	0
939	1
940	1
941	1
942	0
943	0
944	0
945	1
946	1
947	0
948	0
949	0
950	1
951	1
952	0
953	1
954	0
955	0
956	1
957	1
958	0
959	0
960	0
961	0
962	1
963	1
964	1
965	0
966	0
967	0
968	0
969	0
970	1
971	0
972	1
973	1
974	1
975	1
976	0
977	1
978	1
979	1
980	1
981	0
982	1
983	1
984	1
985	0
986	0
987	1
988	1
989	0
990	0
991	0
992	0
993	1
994	0
995	0
996	0
997	0
998	0
999	0
1000	0
1001	0
1002	0
1003	0
1004	0
1005	0
1006	1
1007	1
1008	0
1009	0
1010	0
1011	1
1012	0
1013	1
1014	0
1015	0
1016	0
1017	0
1018	0
1019	1
1020	1
1021	0
1022	0
1023	1
1024	1
1025	0
1026	1
1027	1
1028	0
1029	1
1030	0
1031	0
1032	0
1033	0
1034	0
1035	1
1036	0
1037	0
1038	0
1039	0
1040	1
1041	0
1042	0
1043	1
1044	1
1045	0
1046	0
1047	0
1048	1
1049	0
1050	1
1051	1
1052	0
1053	0
1054	1
1055	1
1056	0
1057	1
1058	0
1059	0
1060	0
1061	1
1062	0
1063	1
1064	0
1065	0
1066	0
1067	0
1068	0
1069	1
1070	0
1071	0
1072	0
1073	0
1074	1
1075	0
1076	0
1077	0
1078	0
1079	0
1080	0
1081	1
1082	0
1083	1
1084	1
1085	0
1086	1
1087	1
1088	1
1089	1
1090	0
1091	1
1092	0
1093	1
1094	1
1095	0
1096	1
1097	0
1098	1
1099	0
1100	1
1101	1
1102	0
1103	0
1104	0
1105	0
1106	0
1107	1
1108	0
1109	1
1110	0
1111	1
1112	1
1113	1
1114	1
1115	0
1116	0
1117	0
1118	1
1119	0
1120	0
1121	0
1122	1
1123	0
1124	1
1125	0
1126	1
1127	1
1128	1
1129	1
1130	1
1131	1
1132	1
1133	0
1134	0
1135	1
1136	1
1137	0
1138	0
1139	0
1140	1
1141	0
1142	0
1143	0
1144	0
1145	0
1146	1
1147	1
1148	0
1149	1
1150	0
1151	0
1152	0
1153	1
1154	1
1155	1
1156	1
1157	1
1158	1
1159	0
1160	1
1161	0
1162	0
1163	1
1164	0
1165	0
1166	0
1167	0
1168	1
1169	0
1170	1
1171	1
1172	0
1173	0
1174	1
1175	0
1176	1
1177	1
1178	1
1179	0
1180	0
1181	0
1182	0
1183	1
1184	1
1185	0
1186	0
1187	0
1188	0
1189	1
1190	1
1191	1
1192	0
1193	1
1194	1
1195	0
1196	0
1197	0
1198	0
1199	1
1200	0
1201	1
1202	0
1203	0
1204	0
1205	0
1206	0
1207	1
1208	1
1209	1
1210	0
1211	1
1212	1
1213	0
1214	0
1215	0
1216	0
1217	1
1218	0
1219	1
1220	0
1221	0
1222	0
1223	0
1224	0
1225	0
1226	0
1227	1
1228	0
1229	0
