index	prediction
0	0
1	0
2	0
3	0
4	0
5	1
6	1
7	0
8	1
9	0
10	0
11	1
12	0
13	0
14	0
15	0
16	1
17	1
18	0
19	0
20	0
21	1
22	0
23	0
24	1
25	1
26	0
27	0
28	1
29	1
30	0
31	0
32	0
33	1
34	1
35	1
36	0
37	0
38	0
39	0
40	1
41	1
42	1
43	1
44	0
45	1
46	0
47	1
48	1
49	0
50	0
51	0
52	0
53	0
54	0
55	1
56	1
57	0
58	0
59	1
60	1
61	0
62	0
63	1
64	0
65	0
66	0
67	1
68	0
69	0
70	0
71	1
72	1
73	1
74	0
75	1
76	1
77	1
78	0
79	0
80	1
81	0
82	0
83	0
84	0
85	0
86	0
87	1
88	0
89	0
90	0
91	1
92	0
93	0
94	1
95	0
96	1
97	1
98	1
99	1
100	0
101	1
102	0
103	0
104	1
105	1
106	1
107	1
108	0
109	1
110	1
111	0
112	0
113	0
114	0
115	0
116	1
117	1
118	0
119	1
120	0
121	0
122	0
123	1
124	0
125	0
126	0
127	1
128	1
129	0
130	1
131	1
132	1
133	1
134	0
135	0
136	1
137	0
138	0
139	0
140	0
141	0
142	0
143	1
144	1
145	0
146	1
147	1
148	0
149	0
150	1
151	1
152	0
153	1
154	0
155	0
156	1
157	0
158	0
159	1
160	0
161	1
162	0
163	0
164	1
165	0
166	1
167	1
168	0
169	0
170	0
171	0
172	0
173	1
174	0
175	0
176	1
177	0
178	1
179	1
180	1
181	0
182	1
183	0
184	1
185	0
186	0
187	1
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	1
199	0
200	1
201	0
202	0
203	0
204	1
205	1
206	1
207	1
208	1
209	0
210	1
211	1
212	1
213	0
214	1
215	1
216	0
217	1
218	1
219	1
220	1
221	0
222	1
223	0
224	1
225	0
226	1
227	0
228	0
229	1
230	0
231	0
232	0
233	0
234	0
235	1
236	0
237	1
238	1
239	1
240	0
241	1
242	0
243	1
244	0
245	1
246	1
247	0
248	0
249	0
250	1
251	0
252	1
253	1
254	1
255	0
256	1
257	1
258	0
259	1
260	1
261	0
262	0
263	0
264	0
265	0
266	1
267	0
268	1
269	1
270	0
271	0
272	1
273	1
274	0
275	0
276	0
277	1
278	0
279	1
280	1
281	0
282	1
283	0
284	0
285	0
286	1
287	0
288	0
289	1
290	0
291	0
292	1
293	0
294	0
295	0
296	1
297	0
298	1
299	0
300	0
301	0
302	1
303	0
304	1
305	0
306	0
307	1
308	1
309	1
310	0
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	0
321	1
322	0
323	0
324	0
325	1
326	0
327	0
328	0
329	1
330	1
331	1
332	0
333	1
334	0
335	0
336	0
337	0
338	0
339	0
340	1
341	0
342	0
343	0
344	0
345	0
346	1
347	1
348	0
349	0
350	0
351	1
352	0
353	1
354	0
355	0
356	0
357	0
358	0
359	1
360	0
361	1
362	0
363	1
364	0
365	0
366	0
367	1
368	1
369	0
370	0
371	1
372	0
373	0
374	1
375	0
376	0
377	1
378	0
379	1
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	1
389	1
390	0
391	1
392	0
393	0
394	1
395	0
396	0
397	0
398	0
399	0
400	1
401	1
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	1
411	0
412	1
413	0
414	1
415	0
416	0
417	1
418	0
419	0
420	0
421	1
422	0
423	1
424	1
425	0
426	0
427	1
428	0
429	1
430	0
431	1
432	0
433	0
434	0
435	1
436	0
437	0
438	0
439	0
440	0
441	0
442	1
443	0
444	0
445	0
446	0
447	1
448	1
449	1
450	1
451	1
452	0
453	1
454	0
455	1
456	1
457	0
458	1
459	0
460	1
461	1
462	1
463	1
464	0
465	0
466	0
467	0
468	0
469	0
470	1
471	0
472	0
473	0
474	0
475	1
476	1
477	0
478	1
479	1
480	1
481	0
482	0
483	1
484	0
485	1
486	0
487	0
488	0
489	1
490	1
491	1
492	0
493	1
494	0
495	0
496	0
497	1
498	0
499	1
500	0
501	1
502	0
503	0
504	1
505	0
506	1
507	0
508	0
509	1
510	1
511	1
512	0
513	0
514	0
515	1
516	1
517	1
518	0
519	0
520	0
521	0
522	1
523	1
524	1
525	0
526	1
527	1
528	0
529	1
530	0
531	0
